language            "English"

menu.newgame        "New Game"
menu.continue       "Continue"
menu.options        "Settings"
menu.quit           "Quit"

options.language    "Language"
options.audio       "Audio"
options.video       "Video"
options.gamepad     "Gamepad"
options.keyboard    "Keyboard"
options.save        "Save"
options.cancel      "Cancel"

actions.jump        "Jump"
actions.fire        "Attack"
actions.retry       "Retry"
actions.up          "Up"
actions.down        "Down"
actions.left        "Left"
actions.right       "Right"

gamepad.connected       "Connected"
gamepad.disconnected    "Disconnected"
gamepad.sensibility     "Sensibility"
